correctAnswer,gridLocation,shape,dots,cumulativetime,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,group,date,expName,psychopyVersion,OS,frameRate,session,phase.thisRepN,phase.thisTrialN,phase.thisN,phase.thisIndex,phase.ran
m,"[0.125,0.125]",square,3,116.76,x,0.912,9,0,9,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
m,"[0.125,-0.125]",diamond,3,118.316,m,1.047,10,0,10,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
m,"[-0.125,-0.125]",square,3,119.433,m,0.607,11,0,11,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
x,"[-0.125,0.125]",diamond,3,120.932,x,0.981,12,0,12,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
m,"[0.125,0.125]",square,3,122.232,m,0.79,13,0,13,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
m,"[0.125,-0.125]",diamond,3,124.354,m,1.614,14,0,14,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
m,"[-0.125,-0.125]",square,3,125.537,m,0.674,15,0,15,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
m,"[-0.125,0.125]",square,3,127.46,m,1.408,16,0,16,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
m,"[0.125,0.125]",square,3,128.544,m,0.57,17,0,17,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
m,"[0.125,-0.125]",diamond,3,129.644,m,0.598,18,0,18,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
x,"[-0.125,-0.125]",square,2,130.91,x,0.764,19,0,19,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
m,"[-0.125,0.125]",square,2,131.96,x,0.545,20,0,20,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
m,"[0.125,0.125]",square,2,135.483,m,3.015,21,0,21,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
x,"[0.125,-0.125]",diamond,2,137.2,x,1.209,22,0,22,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
x,"[-0.125,-0.125]",square,2,139.472,x,1.766,23,0,23,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
x,"[-0.125,0.125]",diamond,3,140.989,x,1.01,24,0,24,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
x,"[0.125,0.125]",diamond,2,142.361,m,0.854,25,0,25,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
x,"[0.125,-0.125]",square,2,147.011,x,4.145,26,0,26,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
m,"[-0.125,-0.125]",square,3,148.451,m,0.929,27,0,27,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
x,"[-0.125,0.125]",diamond,3,150.601,x,1.641,28,0,28,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
x,"[0.125,0.125]",diamond,3,151.6,x,0.485,29,0,29,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
m,"[0.125,-0.125]",diamond,3,152.84,m,0.723,30,0,30,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
